ENSG00000186092	ENSMUSG00000051951	FBgn0002121	AT1G01010	
ENSG00000215417	ENSMUSG00000033004	FBgn0266437	AT1G77130	
ENSG00000232885	ENSMUSG00000022123	FBgn0026189	AT1G77140	
ENSG00000235984	ENSMUSG00000055717	FBgn0035400	AT1G77145	
ENSG00000232849	ENSMUSG00000022122	FBgn0035401	AT1G77150	
ENSG00000224394	ENSMUSG00000048349	FBgn0035402	AT1G77160	
ENSG00000236520	ENSMUSG00000022120	FBgn0263108	AT1G77170	
ENSG00000238230	ENSMUSG00000022119	FBgn0266582	AT1G77180	
ENSG00000227640	ENSMUSG00000053253	FBgn0035405	AT1G77200	
ENSG00000260962	ENSMUSG00000022114	FBgn0024194	AT1G77210	
ENSG00000223392	ENSMUSG00000022113	FBgn0035407	AT1G77220	
ENSG00000247400	ENSMUSG00000075478	FBgn0052280	AT1G77230	
ENSG00000233124	ENSMUSG00000045871	FBgn0052278	AT1G77240	
ENSG00000231194	ENSMUSG00000033214	FBgn0035409	AT1G77250	
ENSG00000224418	ENSMUSG00000058126	FBgn0035410	AT1G77260	
ENSG00000229918	ENSMUSG00000022112	FBgn0283724	AT1G77270	
ENSG00000260992	ENSMUSG00000058571	FBgn0260026	AT1G77280	
ENSG00000228889	ENSMUSG00000022129	FBgn0052284	AT1G77290	
ENSG00000280734	ENSMUSG00000022130	FBgn0035412	AT1G77300	
ENSG00000203441	ENSMUSG00000022131	FBgn0260430	AT1G77310	
ENSG00000234168	ENSMUSG00000061517	FBgn0035413	AT1G77320	
ENSG00000227659	ENSMUSG00000032849	FBgn0035414	AT1G77330	
ENSG00000234303	ENSMUSG00000022132	FBgn0001233	AT1G77340	
ENSG00000201245	ENSMUSG00000042156	FBgn0035415	AT1G77350	
ENSG00000260738	ENSMUSG00000022136	FBgn0047135	AT1G77360	
ENSG00000274605	ENSMUSG00000042104	FBgn0286567	AT1G77370	
ENSG00000234650	ENSMUSG00000053465	FBgn0052271	AT1G77380	
ENSG00000233009	ENSMUSG00000044819	FBgn0053159	AT1G77390	
ENSG00000229599	ENSMUSG00000022139	FBgn0052277	AT1G77400	
ENSG00000234445	ENSMUSG00000051615	FBgn0053160	AT1G77405	
ENSG00000272143	ENSMUSG00000030662	FBgn0035420	AT1G77410	
ENSG00000261057	ENSMUSG00000025555	FBgn0035421	AT1G77420	
ENSG00000234551	ENSMUSG00000063410	FBgn0035422	AT1G77440	
ENSG00000232307	ENSMUSG00000025557	FBgn0035423	AT1G77450	
ENSG00000275968	ENSMUSG00000025558	FBgn0035424	AT1G77460	
ENSG00000275502	ENSMUSG00000041765	FBgn0035425	AT1G77470	
ENSG00000226620	ENSMUSG00000050350	FBgn0035426	AT1G77480	
ENSG00000252550	ENSMUSG00000051212	FBgn0263246	AT1G77490	
ENSG00000233532	ENSMUSG00000071229	FBgn0035427	AT1G77500	
ENSG00000272274	ENSMUSG00000025544	FBgn0085294	AT1G77510	
ENSG00000229938	ENSMUSG00000025545	FBgn0035428	AT1G77520	
ENSG00000236242	ENSMUSG00000041703	FBgn0035429	AT1G77525	
ENSG00000223617	ENSMUSG00000061524	FBgn0035430	AT1G77530	
ENSG00000236053	ENSMUSG00000041650	FBgn0035431	AT1G77540	
ENSG00000229792	ENSMUSG00000041625	FBgn0035432	AT1G77550	
ENSG00000289901	ENSMUSG00000041594	FBgn0052279	AT1G77570	
ENSG00000234854	ENSMUSG00000000197	FBgn0052283	AT1G77580	
ENSG00000231428	ENSMUSG00000032925	FBgn0052282	AT1G77590	
ENSG00000224821	ENSMUSG00000025551	FBgn0035434	AT1G77600	
ENSG00000232814	ENSMUSG00002075936	FBgn0035435	AT1G77610	
ENSG00000259831	ENSMUSG00002076862	FBgn0035437	AT1G77620	
ENSG00000255874	ENSMUSG00000114390	FBgn0035438	AT1G77630	
ENSG00000225870	ENSMUSG00000097547	FBgn0035439	AT1G77640	
ENSG00000235875	ENSMUSG00000114770	FBgn0035440	AT1G77650	
ENSG00000227352	ENSMUSG00002075708	FBgn0052274	AT1G77655	
ENSG00000226903	ENSMUSG00000099218	FBgn0052268	AT1G77660	
ENSG00000200072	ENSMUSG00000089833	FBgn0004167	AT1G77670	
ENSG00000224243	ENSMUSG00000097898	FBgn0283461	AT1G77680	
ENSG00000229520	ENSMUSG00000114532	FBgn0027616	AT1G77682	
ENSG00000260102	ENSMUSG00000090585	FBgn0035443	AT1G77690	
ENSG00000260343	ENSMUSG00000071591	FBgn0035444	AT1G77700	
ENSG00000223626	ENSMUSG00000079407	FBgn0035445	AT1G77710	
ENSG00000197595	ENSMUSG00000068776	FBgn0014388	AT1G77720	
ENSG00000232684	ENSMUSG00000114350	FBgn0026259	AT1G77730	
ENSG00000235280	ENSMUSG00000084942	FBgn0010317	AT1G77740	
ENSG00000231882	ENSMUSG00000084925	FBgn0035449	AT1G77750	
ENSG00000225083	ENSMUSG00000099966	FBgn0052267	AT1G77760	
ENSG00000233613	ENSMUSG00000097577	FBgn0259224	AT1G77765	
ENSG00000233695	ENSMUSG00000090564	FBgn0262484	AT1G77770	
ENSG00000272695	ENSMUSG00000114352	FBgn0001254	AT1G77780	
ENSG00000226921	ENSMUSG00002076409	FBgn0005640	AT1G77790	
ENSG00000274766	ENSMUSG00000114412	FBgn0035452	AT1G77800	
ENSG00000229373	ENSMUSG00000114953	FBgn0035453	AT1G77810	
ENSG00000260910	ENSMUSG00000048628	FBgn0040694	AT1G77815	
ENSG00000265450	ENSMUSG00000089887	FBgn0263239	AT1G77830	
ENSG00000229723	ENSMUSG00000114916	FBgn0035455	AT1G77840	
ENSG00000257115	ENSMUSG00000087535	FBgn0262544	AT1G77850	
ENSG00000222036	ENSMUSG00000114922	FBgn0262535	AT1G77855	
ENSG00000187537	ENSMUSG00002076137	FBgn0052264	AT1G77860	
ENSG00000258453	ENSMUSG00000098609	FBgn0052266	AT1G77870	
ENSG00000176294	ENSMUSG00000021874	FBgn0035462	AT1G77880	
ENSG00000165762	ENSMUSG00000090861	FBgn0052262	AT1G77885	
ENSG00000176281	ENSMUSG00000096052	FBgn0052263	AT1G77890	
ENSG00000155249	ENSMUSG00002076936	FBgn0035464	AT1G77910	
ENSG00000169488	ENSMUSG00000115723	FBgn0004888	AT1G77920	
ENSG00000169484	ENSMUSG00000046005	FBgn0015585	AT1G77930	
ENSG00000176253	ENSMUSG00000115120	FBgn0004875	AT1G77932	
ENSG00000176246	ENSMUSG00000115751	FBgn0013751	AT1G77940	
ENSG00000176230	ENSMUSG00000115007	FBgn0026592	AT1G77950	
ENSG00000184394	ENSMUSG00000097310	FBgn0035468	AT1G77960	
ENSG00000196832	ENSMUSG00000093528	FBgn0035469	AT1G77980	
ENSG00000176219	ENSMUSG00000101261	FBgn0035470	AT1G77990	
ENSG00000176198	ENSMUSG00002074948	FBgn0003943	AT1G78000	
ENSG00000136319	ENSMUSG00002075759	FBgn0035471	AT1G78010	
ENSG00000100814	ENSMUSG00002074887	FBgn0041147	AT1G78020	
ENSG00000129484	ENSMUSG00000105372	FBgn0035473	AT1G78030	
ENSG00000129566	ENSMUSG00000115324	FBgn0004910	AT1G78040	
ENSG00000185271	ENSMUSG00000086124	FBgn0035475	AT1G78050	
ENSG00000092094	ENSMUSG00000085380	FBgn0035476	AT1G78060	
ENSG00000100823	ENSMUSG00000115015	FBgn0027552	AT1G78070	
ENSG00000165782	ENSMUSG00000115410	FBgn0035477	AT1G78080	
ENSG00000198805	ENSMUSG00000099036	FBgn0035478	AT1G78090	
ENSG00000182545	ENSMUSG00000115719	FBgn0035479	AT1G78100	
ENSG00000188655	ENSMUSG00000115609	FBgn0035480	AT1G78110	
ENSG00000181803	ENSMUSG00000114991	FBgn0035481	AT1G78120	
ENSG00000181562	ENSMUSG00002076845	FBgn0264516	AT1G78130	
ENSG00000181552	ENSMUSG00000115725	FBgn0004880	AT1G78140	
ENSG00000169413	ENSMUSG00000098682	FBgn0035482	AT1G78150	
ENSG00000129538	ENSMUSG00000115008	FBgn0004895	AT1G78160	
ENSG00000169397	ENSMUSG00002075370	FBgn0035483	AT1G78170	
ENSG00000169385	ENSMUSG00000092837	FBgn0035484	AT1G78172	
ENSG00000165792	ENSMUSG00000114985	FBgn0045479	AT1G78180	
ENSG00000165794	ENSMUSG00000115540	FBgn0052255	AT1G78190	
ENSG00000165795	ENSMUSG00002075148	FBgn0035488	AT1G78200	
ENSG00000179636	ENSMUSG00000105501	FBgn0263832	AT1G78210	
ENSG00000165799	ENSMUSG00000040840	FBgn0035490	AT1G78220	
ENSG00000173431	ENSMUSG00000097652	FBgn0035491	AT1G78230	
ENSG00000165801	ENSMUSG00000053588	FBgn0042179	AT1G78240	
ENSG00000165804	ENSMUSG00000100017	FBgn0000449	AT1G78260	
ENSG00000232070	ENSMUSG00000096144	FBgn0024179	AT1G78270	
ENSG00000169327	ENSMUSG00000086486	FBgn0052259	AT1G78280	
ENSG00000092199	ENSMUSG00000097933	FBgn0016013	AT1G78290	
ENSG00000092200	ENSMUSG00000097303	FBgn0004516	AT1G78300	
ENSG00000092201	ENSMUSG00000086112	FBgn0035495	AT1G78310	
ENSG00000100888	ENSMUSG00000084951	FBgn0035496	AT1G78320	
ENSG00000129472	ENSMUSG00000101505	FBgn0035497	AT1G78340	
ENSG00000092203	ENSMUSG00000115656	FBgn0035498	AT1G78360	
ENSG00000165819	ENSMUSG00000097589	FBgn0028484	AT1G78370	
ENSG00000165821	ENSMUSG00002075574	FBgn0035499	AT1G78380	
ENSG00000169208	ENSMUSG00002075420	FBgn0264693	AT1G78390	
ENSG00000255582	ENSMUSG00002076244	FBgn0260985	AT1G78400	
ENSG00000221977	ENSMUSG00000091686	FBgn0004574	AT1G78410	
ENSG00000276240	ENSMUSG00000114284	FBgn0003206	AT1G78420	
ENSG00000129562	ENSMUSG00000097545	FBgn0004552	AT1G78430	
ENSG00000100439	ENSMUSG00000085984	FBgn0052260	AT1G78440	
ENSG00000255804	ENSMUSG00002075433	FBgn0035501	AT1G78450	
ENSG00000155463	ENSMUSG00002075933	FBgn0259986	AT1G78460	
ENSG00000155465	ENSMUSG00000093386	FBgn0011653	AT1G78470	
ENSG00000172590	ENSMUSG00000093472	FBgn0261274	AT1G78476	
ENSG00000157227	ENSMUSG00000092499	FBgn0040696	AT1G78480	
ENSG00000197324	ENSMUSG00002076268	FBgn0035504	AT1G78490	
ENSG00000139890	ENSMUSG00000065528	FBgn0035505	AT1G78500	
ENSG00000100461	ENSMUSG00000099528	FBgn0003710	AT1G78510	
ENSG00000100462	ENSMUSG00000115286	FBgn0263110	AT1G78520	
ENSG00000100802	ENSMUSG00000115304	FBgn0035508	AT1G78530	
ENSG00000100804	ENSMUSG00000115845	FBgn0035510	AT1G78540	
ENSG00000222028	ENSMUSG00000115625	FBgn0035511	AT1G78550	
ENSG00000139880	ENSMUSG00000115092	FBgn0035512	AT1G78560	
ENSG00000100813	ENSMUSG00000101009	FBgn0001257	AT1G78570	
ENSG00000179933	ENSMUSG00000115709	FBgn0035515	AT1G78580	
ENSG00000283654	ENSMUSG00000087932	FBgn0011692	AT1G78590	
ENSG00000092067	ENSMUSG00002075704	FBgn0041171	AT1G78600	
ENSG00000092068	ENSMUSG00002075158	FBgn0035517	AT1G78610	
ENSG00000215277	ENSMUSG00000115422	FBgn0035518	AT1G78620	
ENSG00000215271	ENSMUSG00000076453	FBgn0035519	AT1G78630	
ENSG00000235194	ENSMUSG00000115529	FBgn0035520	AT1G78635	
ENSG00000129473	ENSMUSG00000115271	FBgn0035521	AT1G78640	
ENSG00000092096	ENSMUSG00000115001	FBgn0035522	AT1G78650	
ENSG00000100842	ENSMUSG00000115720	FBgn0053764	AT1G78660	
ENSG00000166090	ENSMUSG00000054391	FBgn0035523	AT1G78670	
ENSG00000166091	ENSMUSG00000115821	FBgn0035524	AT1G78680	
ENSG00000197616	ENSMUSG00002075538	FBgn0261952	AT1G78690	
ENSG00000092054	ENSMUSG00002076744	FBgn0035526	AT1G78700	
ENSG00000129460	ENSMUSG00000114980	FBgn0015829	AT1G78710	
ENSG00000136367	ENSMUSG00000115099	FBgn0041630	AT1G78720	
ENSG00000213983	ENSMUSG00002076273	FBgn0035528	AT1G78730	
ENSG00000092051	ENSMUSG00000089707	FBgn0035529	AT1G78740	
ENSG00000100867	ENSMUSG00000115727	FBgn0066365	AT1G78750	
ENSG00000157326	ENSMUSG00000115424	FBgn0052251	AT1G78760	
ENSG00000186648	ENSMUSG00000115432	FBgn0052250	AT1G78770	
ENSG00000100884	ENSMUSG00000115548	FBgn0035532	AT1G78780	
ENSG00000129535	ENSMUSG00000022116	FBgn0035533	AT1G78790	
ENSG00000100889	ENSMUSG00000115149	FBgn0035534	AT1G78800	
ENSG00000100897	ENSMUSG00002074953	FBgn0053514	AT1G78810	
ENSG00000139914	ENSMUSG00000099794	FBgn0035537	AT1G78815	
ENSG00000092010	ENSMUSG00002076417	FBgn0035538	AT1G78820	
ENSG00000100908	ENSMUSG00002076494	FBgn0052240	AT1G78830	
ENSG00000100911	ENSMUSG00002076289	FBgn0035539	AT1G78840	
ENSG00000213928	ENSMUSG00002075245	FBgn0035540	AT1G78850	
ENSG00000100918	ENSMUSG00000115320	FBgn0035541	AT1G78860	
ENSG00000139908	ENSMUSG00000115372	FBgn0035542	AT1G78870	
ENSG00000100938	ENSMUSG00000089726	FBgn0035543	AT1G78880	
ENSG00000092330	ENSMUSG00000093551	FBgn0000038	AT1G78890	
ENSG00000092295	ENSMUSG00000098648	FBgn0035544	AT1G78895	
ENSG00000100949	ENSMUSG00000115689	FBgn0035545	AT1G78900	
ENSG00000157379	ENSMUSG00000115774	FBgn0035546	AT1G78910	
ENSG00000196943	ENSMUSG00000099911	FBgn0035547	AT1G78915	
ENSG00000136305	ENSMUSG00000102112	FBgn0035548	AT1G78920	
ENSG00000213906	ENSMUSG00000085615	FBgn0040699	AT1G78922	
ENSG00000213903	ENSMUSG00000100585	FBgn0052241	AT1G78930	
ENSG00000129467	ENSMUSG00000085555	FBgn0052249	AT1G78940	
ENSG00000129465	ENSMUSG00000075463	FBgn0052248	AT1G78950	
ENSG00000100968	ENSMUSG00000115016	FBgn0035550	AT1G78955	
ENSG00000205978	ENSMUSG00000099994	FBgn0035551	AT1G78960	
ENSG00000139899	ENSMUSG00000115490	FBgn0035552	AT1G78970	
ENSG00000100441	ENSMUSG00000064373	FBgn0035553	AT1G78980	
ENSG00000100445	ENSMUSG00000091119	FBgn0035554	AT1G78990	
ENSG00000092009	ENSMUSG00000055737	FBgn0035555	AT1G78995	
ENSG00000100448	ENSMUSG00000022184	FBgn0261526	AT1G79000	
ENSG00000100450	ENSMUSG00000041935	FBgn0014073	AT1G79010	
ENSG00000100453	ENSMUSG00000022186	FBgn0035557	AT1G79020	
ENSG00000168952	ENSMUSG00000049148	FBgn0052243	AT1G79030	
ENSG00000139910	ENSMUSG00000022181	FBgn0035558	AT1G79040	
ENSG00000184304	ENSMUSG00000022155	FBgn0053777	AT1G79050	
ENSG00000092140	ENSMUSG00000079105	FBgn0260657	AT1G79060	
ENSG00000092108	ENSMUSG00000041849	FBgn0262733	AT1G79070	
ENSG00000100473	ENSMUSG00000041841	FBgn0052246	AT1G79080	
ENSG00000196792	ENSMUSG00000050697	FBgn0015805	AT1G79090	
ENSG00000100478	ENSMUSG00000022151	FBgn0262870	AT1G79100	
ENSG00000092148	ENSMUSG00000039942	FBgn0052238	AT1G79103	
ENSG00000129493	ENSMUSG00000022150	FBgn0085295	AT1G79110	
ENSG00000214943	ENSMUSG00000022149	FBgn0035567	AT1G79120	
ENSG00000151413	ENSMUSG00000022148	FBgn0035568	AT1G79130	
ENSG00000100852	ENSMUSG00000050310	FBgn0035574	AT1G79150	
ENSG00000151320	ENSMUSG00000022146	FBgn0035569	AT1G79160	
ENSG00000151322	ENSMUSG00000054263	FBgn0035570	AT1G79170	
ENSG00000129521	ENSMUSG00000042961	FBgn0035571	AT1G79180	
ENSG00000129518	ENSMUSG00000022144	FBgn0035575	AT1G79190	
ENSG00000129515	ENSMUSG00000039828	FBgn0042131	AT1G79200	
ENSG00000165410	ENSMUSG00000022142	FBgn0261797	AT1G79210	
ENSG00000198604	ENSMUSG00000039801	FBgn0027085	AT1G79220	
ENSG00000100883	ENSMUSG00000022141	FBgn0035577	AT1G79230	
ENSG00000151327	ENSMUSG00000005360	FBgn0035578	AT1G79250	
ENSG00000092020	ENSMUSG00000048424	FBgn0052237	AT1G79260	
ENSG00000100906	ENSMUSG00000022253	FBgn0047330	AT1G79270	
ENSG00000168348	ENSMUSG00000054115	FBgn0035581	AT1G79280	
ENSG00000174373	ENSMUSG00000039704	FBgn0035582	AT1G79310	
ENSG00000100916	ENSMUSG00000072664	FBgn0035583	AT1G79320	
ENSG00000151332	ENSMUSG00000049152	FBgn0028699	AT1G79330	
ENSG00000257520	ENSMUSG00000039676	FBgn0005775	AT1G79340	
ENSG00000136327	ENSMUSG00000003882	FBgn0035594	AT1G79350	
ENSG00000198807	ENSMUSG00000072663	FBgn0040842	AT1G79360	
ENSG00000183032	ENSMUSG00000005268	FBgn0040843	AT1G79370	
ENSG00000151338	ENSMUSG00000089678	FBgn0035593	AT1G79380	
ENSG00000129514	ENSMUSG00000044224	FBgn0035592	AT1G79390	
ENSG00000139865	ENSMUSG00000022247	FBgn0035591	AT1G79400	
ENSG00000139874	ENSMUSG00000022248	FBgn0035590	AT1G79410	
ENSG00000176435	ENSMUSG00000022249	FBgn0035589	AT1G79420	
ENSG00000100934	ENSMUSG00000022246	FBgn0035588	AT1G79430	
ENSG00000092208	ENSMUSG00000058914	FBgn0035587	AT1G79440	
ENSG00000182400	ENSMUSG00000022244	FBgn0035586	AT1G79450	
ENSG00000100941	ENSMUSG00000022243	FBgn0028962	AT1G79460	
ENSG00000150527	ENSMUSG00000060735	FBgn0263831	AT1G79470	
ENSG00000165355	ENSMUSG00000047497	FBgn0010747	AT1G79480	
ENSG00000165379	ENSMUSG00000022241	FBgn0052423	AT1G79485	
ENSG00000189139	ENSMUSG00000022206	FBgn0035598	AT1G79490	
ENSG00000179476	ENSMUSG00000022205	FBgn0004380	AT1G79500	
ENSG00000179454	ENSMUSG00000022201	FBgn0035600	AT1G79510	
ENSG00000198718	ENSMUSG00000039458	FBgn0035601	AT1G79520	
ENSG00000185246	ENSMUSG00000097221	FBgn0260856	AT1G79530	
ENSG00000100442	ENSMUSG00000022200	FBgn0035603	AT1G79540	
ENSG00000187790	ENSMUSG00000022197	FBgn0035604	AT1G79550	
ENSG00000129534	ENSMUSG00000022195	FBgn0085420	AT1G79560	
ENSG00000165496	ENSMUSG00000022191	FBgn0035607	AT1G79570	
ENSG00000139915	ENSMUSG00000039385	FBgn0035608	AT1G79580	
ENSG00000213741	ENSMUSG00000025370	FBgn0085371	AT1G79590	
ENSG00000165501	ENSMUSG00000022321	FBgn0035610	AT1G79600	
ENSG00000165502	ENSMUSG00000040452	FBgn0035611	AT1G79610	
ENSG00000168282	ENSMUSG00000047565	FBgn0035612	AT1G79620	
ENSG00000165506	ENSMUSG00000040420	FBgn0010894	AT1G79630	
ENSG00000100479	ENSMUSG00000045763	FBgn0029118	AT1G79640	
ENSG00000197776	ENSMUSG00000022272	FBgn0029121	AT1G79650	
ENSG00000165516	ENSMUSG00000022270	FBgn0040239	AT1G79660	
ENSG00000165525	ENSMUSG00000052253	FBgn0015766	AT1G79670	
ENSG00000165527	ENSMUSG00000022269	FBgn0035617	AT1G79680	
ENSG00000100483	ENSMUSG00000043556	FBgn0003486	AT1G79690	
ENSG00000100485	ENSMUSG00000022265	FBgn0035619	AT1G79700	
ENSG00000087299	ENSMUSG00000046034	FBgn0035620	AT1G79710	
ENSG00000125375	ENSMUSG00000056069	FBgn0035621	AT1G79720	
ENSG00000100490	ENSMUSG00000022263	FBgn0035622	AT1G79730	
ENSG00000012983	ENSMUSG00000022262	FBgn0035623	AT1G79740	
ENSG00000198513	ENSMUSG00000022240	FBgn0035624	AT1G79750	
ENSG00000151748	ENSMUSG00000039168	FBgn0035625	AT1G79760	
ENSG00000100503	ENSMUSG00000022237	FBgn0035626	AT1G79770	
ENSG00000100504	ENSMUSG00000022236	FBgn0035627	AT1G79780	
ENSG00000131969	ENSMUSG00000039100	FBgn0263106	AT1G79790	
ENSG00000100505	ENSMUSG00000022235	FBgn0016756	AT1G79800	
ENSG00000139921	ENSMUSG00000022234	FBgn0035630	AT1G79810	
ENSG00000139926	ENSMUSG00000039065	FBgn0035631	AT1G79820	
ENSG00000186469	ENSMUSG00000045267	FBgn0035632	AT1G79830	
ENSG00000087302	ENSMUSG00000022231	FBgn0260936	AT1G79840	
ENSG00000087303	ENSMUSG00000022261	FBgn0052418	AT1G79850	
ENSG00000168229	ENSMUSG00000039007	FBgn0040298	AT1G79860	
ENSG00000125384	ENSMUSG00000038984	FBgn0035636	AT1G79870	
ENSG00000087301	ENSMUSG00000022255	FBgn0086694	AT1G79880	
ENSG00000180998	ENSMUSG00000022257	FBgn0035638	AT1G79890	
ENSG00000197930	ENSMUSG00000022324	FBgn0283472	AT1G79900	
ENSG00000100519	ENSMUSG00000094447	FBgn0259167	AT1G79910	
ENSG00000198252	ENSMUSG00000058600	FBgn0035639	AT1G79915	
ENSG00000100522	ENSMUSG00000044726	FBgn0035640	AT1G79920	
ENSG00000073712	ENSMUSG00000022323	FBgn0003984	AT1G79930	
ENSG00000100523	ENSMUSG00000022325	FBgn0035641	AT1G79940	
ENSG00000125378	ENSMUSG00000038879	FBgn0035642	AT1G79950	
ENSG00000100526	ENSMUSG00000050963	FBgn0035643	AT1G79960	
ENSG00000100528	ENSMUSG00000022329	FBgn0035644	AT1G79970	
ENSG00000197045	ENSMUSG00000022330	FBgn0035645	AT1G79985	
ENSG00000100532	ENSMUSG00000037646	FBgn0052409	AT1G79990	
ENSG00000020577	ENSMUSG00000014313	FBgn0052412	AT1G80000	
ENSG00000131979	ENSMUSG00000037627	FBgn0052413	AT1G80010	
ENSG00000198554	ENSMUSG00000048230	FBgn0035647	AT1G80030	
ENSG00000180008	ENSMUSG00000045996	FBgn0035648	AT1G80040	
ENSG00000168175	ENSMUSG00000037617	FBgn0035649	AT1G80050	
ENSG00000131981	ENSMUSG00000022280	FBgn0052407	AT1G80060	
ENSG00000126787	ENSMUSG00000048307	FBgn0053523	AT1G80070	
ENSG00000178974	ENSMUSG00000013611	FBgn0002638	AT1G80080	
ENSG00000126775	ENSMUSG00000022283	FBgn0053993	AT1G80090	
ENSG00000182521	ENSMUSG00000022285	FBgn0035656	AT1G80100	
ENSG00000126777	ENSMUSG00000062397	FBgn0052406	AT1G80110	
ENSG00000139946	ENSMUSG00000022286	FBgn0035657	AT1G80120	
ENSG00000070269	ENSMUSG00000051359	FBgn0035661	AT1G80130	
ENSG00000165588	ENSMUSG00000022288	FBgn0040060	AT1G80133	
ENSG00000070367	ENSMUSG00000022292	FBgn0035663	AT1G80140	
ENSG00000053770	ENSMUSG00000037487	FBgn0250815	AT1G80150	
ENSG00000139977	ENSMUSG00000061923	FBgn0035665	AT1G80160	
ENSG00000100557	ENSMUSG00000037465	FBgn0035666	AT1G80165	
ENSG00000151812	ENSMUSG00000037458	FBgn0035667	AT1G80170	
ENSG00000139971	ENSMUSG00000022295	FBgn0028980	AT1G80180	
ENSG00000131966	ENSMUSG00000022296	FBgn0035669	AT1G80190	
ENSG00000100567	ENSMUSG00000022297	FBgn0035670	AT1G80200	
ENSG00000032219	ENSMUSG00000054196	FBgn0259164	AT1G80210	
ENSG00000196860	ENSMUSG00000022299	FBgn0035673	AT1G80220	
ENSG00000100575	ENSMUSG00000022300	FBgn0035674	AT1G80230	
ENSG00000100578	ENSMUSG00000037386	FBgn0035675	AT1G80240	
ENSG00000165617	ENSMUSG00000022303	FBgn0035676	AT1G80245	
ENSG00000100592	ENSMUSG00000022304	FBgn0035677	AT1G80260	
ENSG00000181619	ENSMUSG00000022305	FBgn0035678	AT1G80270	
ENSG00000126790	ENSMUSG00000094112	FBgn0035679	AT1G80280	
ENSG00000050130	ENSMUSG00000022306	FBgn0061492	AT1G80290	
ENSG00000151838	ENSMUSG00000022307	FBgn0005658	AT1G80300	
ENSG00000139970	ENSMUSG00000042895	FBgn0002440	AT1G80310	
ENSG00000131951	ENSMUSG00000022309	FBgn0086611	AT1G80320	
ENSG00000126773	ENSMUSG00000051920	FBgn0042119	AT1G80330	
ENSG00000100612	ENSMUSG00000022336	FBgn0020637	AT1G80340	
ENSG00000100614	ENSMUSG00000022337	FBgn0020638	AT1G80350	
ENSG00000179008	ENSMUSG00000054409	FBgn0020639	AT1G80360	
ENSG00000184302	ENSMUSG00000038760	FBgn0020640	AT1G80370	
ENSG00000126778	ENSMUSG00000038736	FBgn0052405	AT1G80380	
ENSG00000100625	ENSMUSG00000022338	FBgn0052404	AT1G80390	
ENSG00000020426	ENSMUSG00000038725	FBgn0020641	AT1G80400	
ENSG00000126814	ENSMUSG00000022339	FBgn0020642	AT1G80410	
ENSG00000139974	ENSMUSG00000022340	FBgn0020643	AT1G80420	
ENSG00000027075	ENSMUSG00000022342	FBgn0086900	AT1G80440	
ENSG00000182107	ENSMUSG00000022311	FBgn0020644	AT1G80450	
ENSG00000100644	ENSMUSG00000038679	FBgn0042118	AT1G80460	
ENSG00000023608	ENSMUSG00000022312	FBgn0020645	AT1G80470	
ENSG00000139973	ENSMUSG00000022313	FBgn0020765	AT1G80480	
ENSG00000140015	ENSMUSG00000022314	FBgn0035685	AT1G80490	
ENSG00000126785	ENSMUSG00000068522	FBgn0085300	AT1G80500	
ENSG00000179600	ENSMUSG00000022315	FBgn0035686	AT1G80510	
ENSG00000154001	ENSMUSG00000038622	FBgn0035687	AT1G80520	
ENSG00000140006	ENSMUSG00000061731	FBgn0035688	AT1G80525	
ENSG00000126821	ENSMUSG00000058656	FBgn0035689	AT1G80530	
ENSG00000054654	ENSMUSG00000063727	FBgn0035690	AT1G80540	
ENSG00000140009	ENSMUSG00000038591	FBgn0022699	AT1G80550	
ENSG00000100714	ENSMUSG00000024479	FBgn0262985	AT1G80555	
ENSG00000089775	ENSMUSG00000037362	FBgn0022935	AT1G80560	
ENSG00000179841	ENSMUSG00000022425	FBgn0035691	AT1G80570	
ENSG00000126804	ENSMUSG00000037343	FBgn0035692	AT1G80580	
ENSG00000126803	ENSMUSG00000022422	FBgn0024921	AT1G80590	
ENSG00000165807	ENSMUSG00000022419	FBgn0035693	AT1G80610	
ENSG00000126822	ENSMUSG00000022371	FBgn0002526	AT1G80620	
ENSG00000070182	ENSMUSG00000022370	FBgn0047000	AT1G80625	
ENSG00000176153	ENSMUSG00000022369	FBgn0035694	AT1G80630	
ENSG00000139998	ENSMUSG00000060429	FBgn0047334	AT1G80640	
ENSG00000125952	ENSMUSG00000022367	FBgn0261631	AT1G80650	
ENSG00000033170	ENSMUSG00000022366	FBgn0035695	AT1G80660	
ENSG00000196553	ENSMUSG00000071757	FBgn0004513	AT1G80670	
ENSG00000171723	ENSMUSG00000022365	FBgn0035696	AT1G80680	
ENSG00000172717	ENSMUSG00000022364	FBgn0035697	AT1G80690	
ENSG00000072415	ENSMUSG00000051225	FBgn0001258	AT1G80700	
ENSG00000100554	ENSMUSG00000101892	FBgn0262787	AT1G80710	
ENSG00000134001	ENSMUSG00000022360	FBgn0041625	AT1G80720	
ENSG00000100558	ENSMUSG00000022359	FBgn0041624	AT1G80730	
ENSG00000198133	ENSMUSG00000022358	FBgn0041623	AT1G80740	
ENSG00000054690	ENSMUSG00000022357	FBgn0035699	AT1G80745	
ENSG00000100564	ENSMUSG00000055114	FBgn0259969	AT1G80750	
ENSG00000081181	ENSMUSG00000037119	FBgn0261801	AT1G80760	
ENSG00000100568	ENSMUSG00000037106	FBgn0035702	AT1G80770	
